project,date,tag,num_source,num_dirs,num_files
dnsmasq,2020-04-08,v2.81,43,34,176
dnsmasq,2020-04-04,v2.81rc5,43,34,176
dnsmasq,2020-03-17,v2.81rc4,43,34,176
dnsmasq,2020-03-08,v2.81rc3,43,34,176
dnsmasq,2020-03-05,v2.81rc2,43,34,176
dnsmasq,2020-03-02,v2.81rc1,43,34,176
dnsmasq,2018-10-18,v2.80,43,33,171
dnsmasq,2018-10-08,v2.80rc1,43,33,171
dnsmasq,2018-10-06,v2.80test8,43,33,171
dnsmasq,2018-09-26,v2.80test7,43,33,171
dnsmasq,2018-09-08,v2.80test6,43,33,170
dnsmasq,2018-09-03,v2.80test5,43,33,170
dnsmasq,2018-08-23,v2.80test4,43,33,170
dnsmasq,2018-07-20,v2.80test3,41,33,167
dnsmasq,2018-04-15,v2.80test2,40,33,166
dnsmasq,2018-04-10,v2.80test1,40,33,166
dnsmasq,2018-03-17,v2.79,40,33,165
dnsmasq,2018-03-10,v2.79rc2,40,33,165
dnsmasq,2018-02-14,v2.79rc1,40,33,166
dnsmasq,2017-10-10,v2.79test1,39,33,165
dnsmasq,2017-10-02,v2.78,39,33,165
dnsmasq,2017-06-25,v2.78test2,39,33,163
dnsmasq,2017-06-15,v2.78test1,39,33,163
dnsmasq,2017-05-22,v2.77,39,33,163
dnsmasq,2017-05-21,v2.77rc5,39,33,163
dnsmasq,2017-05-12,v2.77rc4,39,33,163
dnsmasq,2017-05-11,v2.77rc3,39,33,162
dnsmasq,2017-05-10,v2.77rc2,39,33,162
dnsmasq,2017-05-09,v2.77rc1,39,33,162
dnsmasq,2017-04-28,v2.77test5,39,33,162
dnsmasq,2017-02-19,v2.77test4,39,33,162
dnsmasq,2017-02-10,v2.77test3,39,33,162
dnsmasq,2017-02-06,v2.77test2,39,33,162
dnsmasq,2017-01-26,v2.77test1,39,33,162
dnsmasq,2016-05-18,v2.76,39,33,160
dnsmasq,2016-05-14,v2.76rc2,39,33,160
dnsmasq,2016-05-10,v2.76rc1,39,33,160
dnsmasq,2016-05-01,v2.76test13,38,32,158
dnsmasq,2016-03-03,v2.76test12,38,32,158
dnsmasq,2016-02-28,v2.76test11,38,32,158
dnsmasq,2016-02-17,v2.76test10,38,32,158
dnsmasq,2016-02-17,v2.76test9,38,32,158
dnsmasq,2016-01-25,v2.76test8,38,32,158
dnsmasq,2016-01-19,v2.76test7,38,32,158
dnsmasq,2016-01-18,v2.76test6,38,32,158
dnsmasq,2016-01-14,v2.76test5,38,32,158
dnsmasq,2016-01-04,v2.76test4,38,32,158
dnsmasq,2016-01-04,v2.76test2,38,32,158
dnsmasq,2015-07-30,v2.75,35,32,155
dnsmasq,2015-07-27,v2.74,35,32,155
dnsmasq,2015-07-27,v2.74rc4,35,32,155
dnsmasq,2015-07-16,v2.74rc3,35,32,155
dnsmasq,2015-07-16,v2.74rc2,35,32,155
dnsmasq,2015-07-13,v2.74rc1,35,32,155
dnsmasq,2015-07-12,v2.74test2,35,32,155
dnsmasq,2015-07-07,v2.74test1,34,32,154
dnsmasq,2015-06-12,v2.73,34,32,154
dnsmasq,2015-06-10,v2.73rc10,34,32,154
dnsmasq,2015-06-06,v2.73rc9,34,32,154
dnsmasq,2015-05-15,v2.73rc8,34,32,154
dnsmasq,2015-04-28,v2.73rc7,34,32,154
dnsmasq,2015-04-22,v2.73rc6,34,32,154
dnsmasq,2015-04-21,v2.73rc5,34,32,154
dnsmasq,2015-04-09,v2.73rc4,34,32,154
dnsmasq,2015-03-30,v2.73rc2,34,32,154
dnsmasq,2015-03-19,v2.73rc1,34,32,154
dnsmasq,2015-01-20,v2.73test5,34,31,152
dnsmasq,2015-01-12,v2.73test4,34,31,152
dnsmasq,2015-01-07,v2.73test3,34,31,152
dnsmasq,2014-12-23,v2.73test2,34,31,152
dnsmasq,2014-12-17,v2.73test1,34,31,152
dnsmasq,2014-09-23,v2.72,33,31,151
dnsmasq,2014-09-18,v2.72rc2,33,31,151
dnsmasq,2014-09-09,v2.72rc1,33,31,151
dnsmasq,2014-06-07,v2.72test3,32,31,150
dnsmasq,2014-06-05,v2.72test2,32,31,150
dnsmasq,2014-05-20,v2.72test1,31,31,149
dnsmasq,2014-05-16,v2.71,31,31,149
dnsmasq,2014-05-09,v2.71test2,31,31,149
dnsmasq,2014-04-24,v2.71test1,31,31,149
dnsmasq,2014-04-24,v2.70,31,31,149
dnsmasq,2014-04-09,v2.69,31,31,149
dnsmasq,2014-03-29,v2.69rc3,31,31,149
dnsmasq,2014-03-28,v2.69rc2,31,31,149
