project,date,tag,num_source,num_dirs,num_files
dhcp,2020-01-21,v4_4_2_f1,108,33,750
dhcp,2020-01-20,v4_1_esv_r16,130,28,319
dhcp,2020-01-17,v4_4_2,108,33,750
dhcp,2019-12-17,v4_1_esv_r16b1_f1,130,27,315
dhcp,2019-12-17,v4_4_2b1_f2,108,32,745
dhcp,2019-12-12,v4_4_2b1_f1,108,32,745
dhcp,2019-12-11,v4_1_esv_r16b1,130,27,315
dhcp,2019-12-11,v4_4_2b1,108,32,745
dhcp,2018-02-21,v4_4_1_f1,108,27,318
dhcp,2018-02-20,v4_3_6_p1_f1,108,27,302
dhcp,2018-02-20,v4_4_1,108,27,318
dhcp,2018-02-16,v4_3_6_p1_f0,108,27,302
dhcp,2018-02-16,v4_1_esv_r15_p1_f0,130,27,315
dhcp,2018-01-29,v4_4_0_f1,108,27,317
dhcp,2018-01-26,v4_4_0,108,27,316
dhcp,2018-01-05,v4_4_0b1_f1,108,27,313
dhcp,2017-07-25,v4_1_esv_r15,130,27,314
dhcp,2017-07-25,v4_3_6,108,27,301
dhcp,2017-07-05,v4_1_esv_r15b1,130,27,314
dhcp,2017-07-05,v4_3_6b1,108,27,301
dhcp,2016-09-27,v4_3_5,123,28,319
dhcp,2016-09-27,v4_1_esv_r14,130,27,314
dhcp,2016-08-26,v4_1_esv_r14b1,130,27,314
dhcp,2016-08-26,v4_3_5b1,123,28,319
dhcp,2016-03-22,v4_1_esv_r13,130,27,314
dhcp,2016-03-22,v4_3_4,123,28,319
dhcp,2016-03-08,v4_1_esv_r13b1,130,27,314
dhcp,2016-03-07,v4_3_4b1,123,28,319
dhcp,2015-12-17,v4_1_esv_r12_p1,130,27,314
dhcp,2015-12-17,v4_3_3_p1,123,28,316
dhcp,2015-08-26,v4_3_3,123,28,316
dhcp,2015-08-26,v4_1_esv_r12,130,27,314
dhcp,2015-07-31,v4_1_esv_r12b1,130,27,314
dhcp,2015-07-30,v4_3_3b1,123,28,316
