package	first_release	latest_release	num_releases	days_per_release	release_frequency
abseil-cpp          	2020-02-25	2023-08-02	21	59	quarterly
apache2-mod-wsgi    	2014-05-21	2022-09-12	83	36	quarterly
asciidoc            	2019-11-29	2022-05-22	20	45	quarterly
atf                 	2012-02-26	2014-10-23	21	46	quarterly
axel                	2017-09-10	2021-12-20	17	91	semiannual
bash-completion     	2016-03-03	2020-07-25	10	160	semiannual
bats                	2018-06-08	2023-07-15	18	103	semiannual
beep                	2019-01-04	2022-01-28	12	93	semiannual
brotli              	2015-08-11	2020-08-27	16	115	semiannual
bubblewrap          	2016-10-14	2023-02-27	19	122	semiannual
bwm-ng              	2005-02-20	2021-01-10	5	1160	INACTIVE
ccache              	2002-05-12	2023-06-12	82	93	semiannual
check               	2015-08-02	2020-08-09	8	229	annual
cjson               	2016-11-11	2023-07-05	46	52	quarterly
clang14             	2019-04-11	2023-07-29	87	18	monthly
clang15             	2019-04-11	2023-07-29	87	18	monthly
clang16             	2019-04-11	2023-07-29	87	18	monthly
confuse             	2015-10-14	2020-06-25	7	245	annual
conky               	2015-05-23	2023-05-16	33	88	quarterly
cracklib            	2019-03-03	2023-04-02	5	298	annual
cups                	2020-11-27	2023-06-22	11	85	quarterly
cyrus-sasl          	2018-01-29	2022-02-18	7	211	annual
cython              	2021-12-06	2023-07-17	20	29	monthly
czmq                	2011-04-26	2021-01-17	23	154	semiannual
dhcpcd              	2023-04-13	2023-07-19	6	16	monthly
distcc              	2008-06-10	2021-05-11	12	393	INACTIVE
doas                	2019-11-23	2022-01-26	5	159	semiannual
docbook-xsl         	2016-11-03	2020-06-03	20	65	quarterly
dosfstools          	2014-11-12	2021-01-31	5	454	INACTIVE
efibootmgr          	2014-09-09	2022-07-07	11	259	annual
efivar              	2014-08-20	2022-01-14	23	117	semiannual
eggdrop             	2011-10-25	2023-03-11	34	122	semiannual
elinks              	2019-12-27	2023-05-01	20	61	quarterly
encfs               	2014-12-28	2018-04-27	11	110	semiannual
eudev               	2021-02-09	2023-05-16	8	103	semiannual
fail2ban            	2013-05-13	2022-11-09	28	123	semiannual
fish                	2012-05-30	2023-03-25	39	101	semiannual
flex                	2014-03-26	2017-05-06	6	189	annual
fmt                 	2014-04-15	2023-05-09	42	78	quarterly
font-liberation     	2018-05-17	2021-09-30	9	136	semiannual
fribidi             	2008-01-15	2023-05-16	18	311	annual
fsarchiver          	2014-03-01	2023-03-19	14	236	annual
fuse                	2015-05-22	2023-07-05	49	60	quarterly
fuse3               	2015-05-22	2023-07-05	49	60	quarterly
gc                  	2011-12-20	2023-05-26	51	81	quarterly
geoip               	2011-12-19	2018-01-17	19	116	semiannual
gettext-tiny        	2016-10-02	2020-04-06	6	213	annual
ghi                 	2015-10-16	2016-04-20	8	23	monthly
ghostscript         	2016-01-26	2023-06-21	51	52	quarterly
glslang             	2016-08-23	2023-08-02	35	72	quarterly
graphene            	2015-09-10	2022-03-18	18	132	semiannual
gtest               	2018-08-31	2023-08-02	7	256	annual
harfbuzz            	2017-01-05	2023-08-02	100	24	monthly
haveged             	2018-07-18	2022-04-09	17	80	quarterly
