package,num_files,build_num_lines,source
7zip,4,55,https://7-zip.org/a/7z$_pkgver-src.tar.xz
aaudit,9,52,aaudit-common.lua
abi-compliance-checker,1,20,$pkgname-$pkgver.tar.gz::https://github.com/lvc/abi-compliance-checker/archive/$pkgver.tar.gz
abseil-cpp,2,161,https://github.com/abseil/abseil-cpp/archive/$pkgver/abseil-cpp-$pkgver.tar.gz
abuild,3,116,https://gitlab.alpinelinux.org/alpine/abuild/-/archive/$pkgver/abuild-$pkgver.tar.gz
acct,3,69,
acf-alpine-baselayout,1,21,https://gitlab.alpinelinux.org/acf/acf-alpine-baselayout/-/archive/v$pkgver/acf-alpine-baselayout-v$pkgver.tar.gz
acf-alpine-conf,1,21,https://gitlab.alpinelinux.org/acf/acf-alpine-conf/-/archive/v$pkgver/acf-alpine-conf-v$pkgver.tar.gz
acf-amavisd-new,1,21,https://gitlab.alpinelinux.org/acf/acf-amavisd-new/-/archive/v$pkgver/acf-amavisd-new-v$pkgver.tar.gz
acf-apk-tools,1,21,https://gitlab.alpinelinux.org/acf/acf-apk-tools/-/archive/v$pkgver/acf-apk-tools-v$pkgver.tar.gz
acf-asterisk,1,21,https://gitlab.alpinelinux.org/acf/acf-asterisk/-/archive/v$pkgver/acf-asterisk-v$pkgver.tar.gz
acf-awall,1,21,https://gitlab.alpinelinux.org/acf/acf-awall/-/archive/v$pkgver/acf-awall-v$pkgver.tar.gz
acf-chrony,1,21,https://gitlab.alpinelinux.org/acf/acf-chrony/-/archive/v$pkgver/acf-chrony-v$pkgver.tar.gz
acf-core,2,36,https://gitlab.alpinelinux.org/acf/acf-core/-/archive/v$pkgver/acf-core-v$pkgver.tar.gz
acf-dansguardian,1,21,https://gitlab.alpinelinux.org/acf/acf-dansguardian/-/archive/v$pkgver/acf-dansguardian-v$pkgver.tar.gz
acf-db,1,30,https://gitlab.alpinelinux.org/acf/acf-db/-/archive/v$pkgver/acf-db-v$pkgver.tar.gz
acf-dhcp,1,21,https://gitlab.alpinelinux.org/acf/acf-dhcp/-/archive/v$pkgver/acf-dhcp-v$pkgver.tar.gz
acf-dnscache,1,21,https://gitlab.alpinelinux.org/acf/acf-dnscache/-/archive/v$pkgver/acf-dnscache-v$pkgver.tar.gz
acf-dnsmasq,1,21,https://gitlab.alpinelinux.org/acf/acf-dnsmasq/-/archive/v$pkgver/acf-dnsmasq-v$pkgver.tar.gz
acf-dovecot,1,21,https://gitlab.alpinelinux.org/acf/acf-dovecot/-/archive/v$pkgver/acf-dovecot-v$pkgver.tar.gz
acf-freeradius3,1,21,https://gitlab.alpinelinux.org/acf/acf-freeradius3/-/archive/v$pkgver/acf-freeradius3-v$pkgver.tar.gz
acf-freeswitch,1,21,https://gitlab.alpinelinux.org/acf/acf-freeswitch/-/archive/v$pkgver/acf-freeswitch-v$pkgver.tar.gz
acf-freeswitch-vmail,2,22,$pkgname-$pkgver-2.tar.gz::https://gitlab.alpinelinux.org/acf/acf-freeswitch-vmail/-/archive/v$pkgver/acf-freeswitch-vmail-v$pkgver.tar.gz
acf-gross,1,21,https://gitlab.alpinelinux.org/acf/acf-gross/-/archive/v$pkgver/acf-gross-v$pkgver.tar.gz
acf-heimdal,1,21,https://gitlab.alpinelinux.org/acf/acf-heimdal/-/archive/v$pkgver/acf-heimdal-v$pkgver.tar.gz
acf-iproute2-qos,1,21,https://gitlab.alpinelinux.org/acf/acf-iproute2-qos/-/archive/v$pkgver/acf-iproute2-qos-v$pkgver.tar.gz
acf-iptables,1,21,https://gitlab.alpinelinux.org/acf/acf-iptables/-/archive/v$pkgver/acf-iptables-v$pkgver.tar.gz
acf-jquery,1,21,https://gitlab.alpinelinux.org/acf/acf-jquery/-/archive/v$pkgver/acf-jquery-v$pkgver.tar.gz
acf-kamailio,1,21,https://gitlab.alpinelinux.org/acf/acf-kamailio/-/archive/v$pkgver/acf-kamailio-v$pkgver.tar.gz
acf-lib,1,42,https://gitlab.alpinelinux.org/acf/acf-lib/-/archive/v$pkgver/acf-lib-v$pkgver.tar.gz
acf-lighttpd,1,21,https://gitlab.alpinelinux.org/acf/acf-lighttpd/-/archive/v$pkgver/acf-lighttpd-v$pkgver.tar.gz
acf-lvm2,1,21,https://gitlab.alpinelinux.org/acf/acf-lvm2/-/archive/v$pkgver/acf-lvm2-v$pkgver.tar.gz
acf-mariadb,1,22,https://gitlab.alpinelinux.org/acf/acf-mariadb/-/archive/v$pkgver/acf-mariadb-v$pkgver.tar.gz
acf-mdadm,1,21,https://gitlab.alpinelinux.org/acf/acf-mdadm/-/archive/v$pkgver/acf-mdadm-v$pkgver.tar.gz
acf-nsd,1,21,https://gitlab.alpinelinux.org/acf/acf-nsd/-/archive/v$pkgver/acf-nsd-v$pkgver.tar.gz
acf-openldap,1,21,https://gitlab.alpinelinux.org/acf/acf-openldap/-/archive/v$pkgver/acf-openldap-v$pkgver.tar.gz
acf-opennhrp,1,21,https://gitlab.alpinelinux.org/acf/acf-opennhrp/-/archive/v$pkgver/acf-opennhrp-v$pkgver.tar.gz
acf-openntpd,1,21,https://gitlab.alpinelinux.org/acf/acf-openntpd/-/archive/v$pkgver/acf-openntpd-v$pkgver.tar.gz
acf-openssh,1,21,https://gitlab.alpinelinux.org/acf/acf-openssh/-/archive/v$pkgver/acf-openssh-v$pkgver.tar.gz
acf-openssl,1,21,https://gitlab.alpinelinux.org/acf/acf-openssl/-/archive/v$pkgver/acf-openssl-v$pkgver.tar.gz
acf-openvpn,1,21,https://gitlab.alpinelinux.org/acf/acf-openvpn/-/archive/v$pkgver/acf-openvpn-v$pkgver.tar.gz
acf-pingu,1,21,https://gitlab.alpinelinux.org/acf/acf-pingu/-/archive/v$pkgver/acf-pingu-v$pkgver.tar.gz
acf-postfix,1,21,https://gitlab.alpinelinux.org/acf/acf-postfix/-/archive/v$pkgver/acf-postfix-v$pkgver.tar.gz
acf-postgresql,1,21,https://gitlab.alpinelinux.org/acf/acf-postgresql/-/archive/v$pkgver/acf-postgresql-v$pkgver.tar.gz
acf-ppp,1,21,https://gitlab.alpinelinux.org/acf/acf-ppp/-/archive/v$pkgver/acf-ppp-v$pkgver.tar.gz
acf-provisioning,1,26,https://gitlab.alpinelinux.org/acf/acf-provisioning/-/archive/v$pkgver/acf-provisioning-v$pkgver.tar.gz
acf-quagga,1,21,https://gitlab.alpinelinux.org/acf/acf-quagga/-/archive/v$pkgver/acf-quagga-v$pkgver.tar.gz
acf-samba,1,21,https://gitlab.alpinelinux.org/acf/acf-samba/-/archive/v$pkgver/acf-samba-v$pkgver.tar.gz
acf-skins,1,20,https://gitlab.alpinelinux.org/acf/acf-skins/-/archive/v$pkgver/acf-skins-v$pkgver.tar.gz
acf-snort,1,21,https://gitlab.alpinelinux.org/acf/acf-snort/-/archive/v$pkgver/acf-snort-v$pkgver.tar.gz
acf-squid,1,21,https://gitlab.alpinelinux.org/acf/acf-squid/-/archive/v$pkgver/acf-squid-v$pkgver.tar.gz
acf-tinydns,1,21,https://gitlab.alpinelinux.org/acf/acf-tinydns/-/archive/v$pkgver/acf-tinydns-v$pkgver.tar.gz
acf-unbound,1,21,https://gitlab.alpinelinux.org/acf/acf-unbound/-/archive/v$pkgver/acf-unbound-v$pkgver.tar.gz
acf-weblog,3,27,$pkgname-$pkgver.tar.gz::https://gitlab.alpinelinux.org/acf/acf-weblog/-/archive/v$pkgver/acf-weblog-v$pkgver.tar.gz
ack,1,33,https://cpan.metacpan.org/authors/id/P/PE/PETDANCE/ack-v$pkgver.tar.gz
acl,2,47,https://download.savannah.nongnu.org/releases/acl/acl-$pkgver.tar.gz
aconf,2,56,https://dev.alpinelinux.org/archive/aconf/aconf-$pkgver.tar.xz
acpi,1,28,https://downloads.sourceforge.net/acpiclient/acpi-$pkgver.tar.gz
acpica,1,35,acpica-unix-$pkgver.tar.gz::https://acpica.org/sites/acpica/files/acpica-unix-$pkgver.tar_0.gz
akms,6,34,https://github.com/jirutka/akms/archive/v$pkgver/akms-$pkgver.tar.gz
alpine-base,1,73,None
alpine-baselayout,16,274,crontab
alpine-conf,1,31,https://gitlab.alpinelinux.org/alpine/alpine-conf/-/archive/$pkgver/alpine-conf-$pkgver.tar.gz
alpine-git-mirror-syncd,1,28,https://github.com/jirutka/alpine-git-mirror-syncd/archive/v$pkgver/alpine-git-mirror-syncd-$pkgver.tar.gz
alpine-ipxe,6,87,ipxe-$pkgver.tar.gz::https://github.com/ipxe/ipxe/archive/v$pkgver.tar.gz
alpine-keys,18,126,$source ${_i#*:}
alpine-make-rootfs,1,20,$pkgname-$pkgver.tar.gz::https://github.com/alpinelinux/alpine-make-rootfs/archive/v$pkgver.tar.gz
alpine-sdk,1,18,None
alsa-lib,3,47,https://alsa-project.org/files/pub/lib/alsa-lib-$pkgver.tar.bz2
alsa-ucm-conf,1,23,https://alsa-project.org/files/pub/lib/alsa-ucm-conf-$pkgver.tar.bz2
alsa-utils,4,48,https://alsa-project.org/files/pub/utils/alsa-utils-$pkgver.tar.bz2
